name,tag,market
Oil India Limited,OIL.NS,NSE
SBI Cards and Payment Services Limited,SBICARD.NS,NSE
Vodafone Idea Limited,IDEA.NS,NSE
Marico Limited,MARICO.NS,NSE
Godrej Properties Limited,GODREJPROP.NS,NSE
Aurobindo Pharma Limited,AUROPHARMA.NS,NSE
UCO Bank,UCOBANK.NS,NSE
Bank of India,BANKINDIA.NS,NSE
Persistent Systems Limited,PERSISTENT.NS,NSE
Muthoot Finance Limited,MUTHOOTFIN.NS,NSE
NMDC Limited,NMDC.NS,NSE
Alkem Laboratories Limited,ALKEM.NS,NSE
PI Industries Limited,PIIND.NS,NSE
L&T Technology Services Limited,LTTS.NS,NSE
General Insurance Corporation of India,GICRE.NS,NSE
Tata Communications Limited,TATACOMM.NS,NSE
Jindal Stainless Limited,JSL.NS,NSE
MRF Limited,MRF.NS,NSE
Steel Authority of India Limited,SAIL.NS,NSE
Procter & Gamble Hygiene and Health Care Limited,PGHH.NS,NSE
Suzlon Energy Limited,SUZLON.NS,NSE
Linde India Limited,LINDEINDIA.NS,NSE
Supreme Industries Limited,SUPREMEIND.NS,NSE
Container Corporation of India Limited,CONCOR.NS,NSE
Oberoi Realty Limited,OBEROIRLTY.NS,NSE
Astral Limited,ASTRAL.NS,NSE
IDFC First Bank Limited,IDFCFIRSTB.NS,NSE
Rail Vikas Nigam Limited,RVNL.NS,NSE
Bharat Forge Limited,BHARATFORG.NS,NSE
Central Bank of India,CENTRALBK.NS,NSE
JSW Infrastructure Limited,JSWINFRA.NS,NSE
PB Fintech Limited,POLICYBZR.NS,NSE
Ashok Leyland Limited,ASHOKLEY.NS,NSE
Thermax Limited,THERMAX.NS,NSE
The Phoenix Mills Limited,PHOENIXLTD.NS,NSE
GMR Airports Infrastructure Limited,GMRINFRA.NS,NSE
Tata Elxsi Limited,TATAELXSI.NS,NSE
Patanjali Foods Limited,PATANJALI.NS,NSE
SJVN Limited,SJVN.NS,NSE
Prestige Estates Projects Limited,PRESTIGE.NS,NSE
ACC Limited,ACC.NS,NSE
FSN E-Commerce Ventures Limited,NYKAA.NS,NSE
Sundaram Finance Limited,SUNDARMFIN.NS,NSE
United Breweries Limited,UBL.NS,NSE
Aditya Birla Capital Limited,ABCAPITAL.NS,NSE
MphasiS Limited,MPHASIS.NS,NSE
Balkrishna Industries Limited,BALKRISIND.NS,NSE
Dixon Technologies (India) Limited,DIXON.NS,NSE
Bank of Maharashtra,MAHABANK.NS,NSE
Kalyan Jewellers India Limited,KALYANKJIL.NS,NSE
Schaeffler India Limited,SCHAEFFLER.NS,NSE
Adani Wilmar Limited,AWL.NS,NSE
APL Apollo Tubes Limited,APLAPOLLO.NS,NSE
Tata Technologies Limited,TATATECH.NS,NSE
Sona BLW Precision Forgings Limited,SONACOMS.NS,NSE
KPIT Technologies Limited,KPITTECH.NS,NSE
Fertilizers and Chemicals Travancore Limited,FACT.NS,NSE
Punjab & Sind Bank,PSB.NS,NSE
Petronet LNG Limited,PETRONET.NS,NSE
L&T Finance Holdings Limited,L&TFH.NS,NSE
UNO Minda Limited,UNOMINDA.NS,NSE
Page Industries Limited,PAGEIND.NS,NSE
Mangalore Refinery and Petrochemicals Limited,MRPL.NS,NSE
AU Small Finance Bank Limited,AUBANK.NS,NSE
Mazagon Dock Shipbuilders Limited,MAZDOCK.NS,NSE
Housing & Urban Development Corporation Limited,HUDCO.NS,NSE
Gujarat Gas Limited,GUJGASLTD.NS,NSE
The New India Assurance Company Limited,NIACL.NS,NSE
CRISIL Limited,CRISIL.NS,NSE
AIA Engineering Limited,AIAENG.NS,NSE
The Federal Bank  Limited,FEDERALBNK.NS,NSE
Indian Renewable Energy Development Agency Limited,IREDA.NS,NSE
Voltas Limited,VOLTAS.NS,NSE
Dalmia Bharat Limited,DALBHARAT.NS,NSE
Poonawalla Fincorp Limited,POONAWALLA.NS,NSE
Global Health Limited,MEDANTA.NS,NSE
IRB Infrastructure Developers Limited,IRB.NS,NSE
3M India Limited,3MINDIA.NS,NSE
Max Financial Services Limited,MFSL.NS,NSE
Mahindra & Mahindra Financial Services Limited,M&MFIN.NS,NSE
UPL Limited,UPL.NS,NSE
Honeywell Automation India Limited,HONAUT.NS,NSE
BSE Limited,BSE.NS,NSE
Gujarat Fluorochemicals Limited,FLUOROCHEM.NS,NSE
Coforge Limited,COFORGE.NS,NSE
LIC Housing Finance Limited,LICHSGFIN.NS,NSE
GlaxoSmithKline Pharmaceuticals Limited,GLAXO.NS,NSE
Delhivery Limited,DELHIVERY.NS,NSE
Bharat Dynamics Limited,BDL.NS,NSE
Star Health and Allied Insurance Company Limited,STARHEALTH.NS,NSE
Fortis Healthcare Limited,FORTIS.NS,NSE
Biocon Limited,BIOCON.NS,NSE
Coromandel International Limited,COROMANDEL.NS,NSE
NLC India Limited,NLCINDIA.NS,NSE
Tata Investment Corporation Limited,TATAINVEST.NS,NSE
JK Cement Limited,JKCEMENT.NS,NSE
IPCA Laboratories Limited,IPCALAB.NS,NSE
Metro Brands Limited,METROBRAND.NS,NSE
KEI Industries Limited,KEI.NS,NSE
Escorts Kubota Limited,ESCORTS.NS,NSE
Lloyds Metals And Energy Limited,LLOYDSME.NS,NSE
Gland Pharma Limited,GLAND.NS,NSE
Indraprastha Gas Limited,IGL.NS,NSE
Nippon Life India Asset Management Limited,NAM-INDIA.NS,NSE
Apollo Tyres Limited,APOLLOTYRE.NS,NSE
Jubilant Foodworks Limited,JUBLFOOD.NS,NSE
Hitachi Energy India Limited,POWERINDIA.NS,NSE
Motherson Sumi Wiring India Limited,MSUMI.NS,NSE
Bandhan Bank Limited,BANDHANBNK.NS,NSE
Deepak Nitrite Limited,DEEPAKNTR.NS,NSE
ZF Commercial Vehicle Control Systems India Limited,ZFCVINDIA.NS,NSE
Ajanta Pharma Limited,AJANTPHARM.NS,NSE
K.P.R. Mill Limited,KPRMILL.NS,NSE
Syngene International Limited,SYNGENE.NS,NSE
EIH Limited,EIHOTEL.NS,NSE
Apar Industries Limited,APARINDS.NS,NSE
National Aluminium Company Limited,NATIONALUM.NS,NSE
Tata Chemicals Limited,TATACHEM.NS,NSE
Glenmark Pharmaceuticals Limited,GLENMARK.NS,NSE
Hindustan Copper Limited,HINDCOPPER.NS,NSE
Godrej Industries Limited,GODREJIND.NS,NSE
Narayana Hrudayalaya Ltd.,NH.NS,NSE
Blue Star Limited,BLUESTARCO.NS,NSE
Exide Industries Limited,EXIDEIND.NS,NSE
Endurance Technologies Limited,ENDURANCE.NS,NSE
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM.NS,NSE
One 97 Communications Limited,PAYTM.NS,NSE
Angel One Limited,ANGELONE.NS,NSE
Motilal Oswal Financial Services Limited,MOTILALOFS.NS,NSE
ITI Limited,ITI.NS,NSE
360 ONE WAM LIMITED,360ONE.NS,NSE
Carborundum Universal Limited,CARBORUNIV.NS,NSE
Aarti Industries Limited,AARTIIND.NS,NSE
Sun TV Network Limited,SUNTV.NS,NSE
KIOCL Limited,KIOCL.NS,NSE
ICICI Securities Limited,ISEC.NS,NSE
Radico Khaitan Limited,RADICO.NS,NSE
Sundram Fasteners Limited,SUNDRMFAST.NS,NSE
CREDITACCESS GRAMEEN LIMITED,CREDITACC.NS,NSE
Cochin Shipyard Limited,COCHINSHIP.NS,NSE
Hatsun Agro Product Limited,HATSUN.NS,NSE
Vedant Fashions Limited,MANYAVAR.NS,NSE
Cyient Limited,CYIENT.NS,NSE
GE T&D India Limited,GET&D.NS,NSE
Brigade Enterprises Limited,BRIGADE.NS,NSE
Timken India Limited,TIMKEN.NS,NSE
NBCC (India) Limited,NBCC.NS,NSE
JBM Auto Limited,JBMA.NS,NSE
Gillette India Limited,GILLETTE.NS,NSE
Kansai Nerolac Paints Limited,KANSAINER.NS,NSE
Laurus Labs Limited,LAURUSLABS.NS,NSE
Grindwell Norton Limited,GRINDWELL.NS,NSE
Five-Star Business Finance Limited,FIVESTAR.NS,NSE
Swan Energy Limited,SWANENERGY.NS,NSE
Cholamandalam Financial Holdings Limited,CHOLAHLDNG.NS,NSE
Ircon International Limited,IRCON.NS,NSE
SKF India Limited,SKFINDIA.NS,NSE
BIRLASOFT LIMITED,BSOFT.NS,NSE
Aster DM Healthcare Limited,ASTERDM.NS,NSE
Relaxo Footwears Limited,RELAXO.NS,NSE
Sonata Software Limited,SONATSOFTW.NS,NSE
Gujarat State Petronet Limited,GSPL.NS,NSE
Ratnamani Metals & Tubes Limited,RATNAMANI.NS,NSE
Aditya Birla Fashion and Retail Limited,ABFRL.NS,NSE
Alembic Pharmaceuticals Limited,APLLTD.NS,NSE
Pfizer Limited,PFIZER.NS,NSE
The Ramco Cements Limited,RAMCOCEM.NS,NSE
Signatureglobal (India) Limited,SIGNATURE.NS,NSE
Piramal Enterprises Limited,PEL.NS,NSE
Elgi Equipments Limited,ELGIEQUIP.NS,NSE
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,NSE
Emami Limited,EMAMILTD.NS,NSE
Sanofi India Limited,SANOFI.NS,NSE
Jyoti CNC Automation Limited,JYOTICNC.NS,NSE
Trident Limited,TRIDENT.NS,NSE
Castrol India Limited,CASTROLIND.NS,NSE
Kajaria Ceramics Limited,KAJARIACER.NS,NSE
Kaynes Technology India Limited,KAYNES.NS,NSE
Century Textiles & Industries Limited,CENTURYTEX.NS,NSE
Chalet Hotels Limited,CHALET.NS,NSE
Devyani International Limited,DEVYANI.NS,NSE
Central Depository Services (India) Limited,CDSL.NS,NSE
KEC International Limited,KEC.NS,NSE
Schneider Electric Infrastructure Limited,SCHNEIDER.NS,NSE
IDFC Limited,IDFC.NS,NSE
Bata India Limited,BATAINDIA.NS,NSE
CIE Automotive India Limited,CIEINDIA.NS,NSE
Kalpataru Projects International Limited,KPIL.NS,NSE
R R Kabel Limited,RRKABEL.NS,NSE
Sumitomo Chemical India Limited,SUMICHEM.NS,NSE
Natco Pharma Limited,NATCOPHARM.NS,NSE
Suven Pharmaceuticals Limited,SUVENPHAR.NS,NSE
Crompton Greaves Consumer Electricals Limited,CROMPTON.NS,NSE
Triveni Turbine Limited,TRITURBINE.NS,NSE
Piramal Pharma Limited,PPLPHARMA.NS,NSE
Inox Wind Limited,INOXWIND.NS,NSE
Action Construction Equipment Limited,ACE.NS,NSE
Atul Limited,ATUL.NS,NSE
